model,base_channels,batch_size,window_len,sampling_rate,window_duration_s,params,params_human,model_size_mb,latency_mean_ms,latency_std_ms,p50_ms,p95_ms,inferences_per_sec,samples_per_sec,gpu_peak_mb,system_mem_delta_mb
XiaoNetV5B_bc4,4,1,3001,100,30.0100,5700,5.7K,0.02,2.721,0.626,2.536,3.848,367.47,367.5,0.0,12.9
PhaseNet,,1,3001,100,30.0100,268443,268.4K,1.02,3.368,0.616,3.342,4.644,296.88,296.9,0.0,6.6
